Idiom	Context	Meaning	Explanation	Language
on the fence	You can't stay on the fence any longer—you need to choose which of the two candidates we should hire.	Not making a decision or taking a side when presented with two options or possibilities; undecided.  	Keine Entscheidung treffen oder keine Partei ergreifen, wenn zwei Optionen oder Möglichkeiten geboten werden; unentschieden.	German
head over heels	Oh, I know he's head over heels in love with Christina—he won't stop gushing about her!	Completely enamored of someone, typically a new romantic partner. This phrase is sometimes followed by "in love."  	Completamente enamorado de alguien, normalmente una nueva pareja romántica. Esta frase a veces va seguida de "enamorado".	Spanish
head over heels	Oh, I know he's head over heels in love with Christina—he won't stop gushing about her!	Completely enamored of someone, typically a new romantic partner. This phrase is sometimes followed by "in love."  	Völlig verliebt in jemanden, normalerweise in einen neuen romantischen Partner. Auf diesen Satz folgt manchmal „verliebt“.	German
poetic justice	The CEO of the cigarette manufacturer, who has long denied the health risks associated with smoking, just died of lung cancer—now isn't that poetic justice?	A punishment or unfavorable outcome that is particularly appropriate or ironic. ?	Un castigo o resultado desfavorable que resulta particularmente apropiado o irónico. ?	Spanish
poetic justice	The CEO of the cigarette manufacturer, who has long denied the health risks associated with smoking, just died of lung cancer—now isn't that poetic justice?	A punishment or unfavorable outcome that is particularly appropriate or ironic. ?	Eine Bestrafung oder ein ungünstiges Ergebnis, das besonders angemessen oder ironisch ist. ?	German
dead to the world	Sarah was dead to the world by the time I came to bed.	Sound asleep or unconscious, as in The alarm clock went off but Joseph was dead to the world. [Late 1800s] 	Profundamente dormido o inconsciente, como en El despertador sonó pero Joseph estaba muerto para el mundo. [Finales de 1800]	Spanish
dead to the world	Sarah was dead to the world by the time I came to bed.	Sound asleep or unconscious, as in The alarm clock went off but Joseph was dead to the world. [Late 1800s] 	Tief eingeschlafen oder bewusstlos, wie in Der Wecker klingelte, aber Joseph war für die Welt tot. [Ende des 19. Jahrhunderts]	German
odds and ends	I can never find what I need amongst all the odds and ends in this drawer!	An assortment of small, miscellaneous items, especially those that are not especially important or valuable.  	Una variedad de artículos pequeños y variados, especialmente aquellos que no son especialmente importantes o valiosos.	Spanish
odds and ends	I can never find what I need amongst all the odds and ends in this drawer!	An assortment of small, miscellaneous items, especially those that are not especially important or valuable.  	Eine Auswahl kleiner, verschiedener Gegenstände, insbesondere solcher, die nicht besonders wichtig oder wertvoll sind.	German
an ugly duckling	I thought that fledgling company would dissolve in months. No one foresaw that it was just an ugly duckling and would have great success.	A person or thing once considered unattractive or unlikely to succeed that becomes beautiful or successful in time. The phrase refers to Hans Christian Andersen's fairy tale of an ugly duckling that grows up to be a beautiful swan. The phrase can apply to physical appearance or to the level of success of something.  	Una persona o cosa que alguna vez se consideró poco atractiva o con pocas probabilidades de éxito, pero que con el tiempo se vuelve hermosa o exitosa. La frase se refiere al cuento de hadas de Hans Christian Andersen sobre un patito feo que crece hasta convertirse en un hermoso cisne. La frase puede aplicarse a la apariencia física o al nivel de éxito de algo.	Spanish
an ugly duckling	I thought that fledgling company would dissolve in months. No one foresaw that it was just an ugly duckling and would have great success.	A person or thing once considered unattractive or unlikely to succeed that becomes beautiful or successful in time. The phrase refers to Hans Christian Andersen's fairy tale of an ugly duckling that grows up to be a beautiful swan. The phrase can apply to physical appearance or to the level of success of something.  	Eine Person oder Sache, die einst als unattraktiv oder als unwahrscheinlich galt und mit der Zeit schön oder erfolgreich wird. Der Satz bezieht sich auf Hans Christian Andersens Märchen über ein hässliches Entlein, das zu einem wunderschönen Schwan heranwächst. Der Ausdruck kann sich auf das äußere Erscheinungsbild oder auf den Erfolg einer Sache beziehen.	German
easier said than done	You vowed to double the amount of last year's donations? Easier said than done.	It is easy to say that one can or will do something, but is much more difficult to actually do it.  	Es fácil decir que uno puede o quiere hacer algo, pero es mucho más difícil hacerlo realmente.	Spanish
easier said than done	You vowed to double the amount of last year's donations? Easier said than done.	It is easy to say that one can or will do something, but is much more difficult to actually do it.  	Es ist leicht zu sagen, dass man etwas tun kann oder will, aber es ist viel schwieriger, es tatsächlich zu tun.	German
son of a gun	That tightfisted son of a gun won't buy me a beer. He can be a real son of a bachelor when he's in a bad mood.	a worthless person. A substitute for son of a bitch. 	una persona sin valor. Un sustituto de hijo de puta.	Spanish
son of a gun	That tightfisted son of a gun won't buy me a beer. He can be a real son of a bachelor when he's in a bad mood.	a worthless person. A substitute for son of a bitch. 	ein wertloser Mensch. Ein Ersatz für einen Hurensohn.	German
hold your horses	Whoa, hold your horses, kids. We're going to sing before we start eating cake.	Wait a moment or be patient often because you are moving too quickly or thoughtlessly.  	Espere un momento o tenga paciencia con frecuencia porque se está moviendo demasiado rápido o sin pensar.	Spanish
hold your horses	Whoa, hold your horses, kids. We're going to sing before we start eating cake.	Wait a moment or be patient often because you are moving too quickly or thoughtlessly.  	Warten Sie einen Moment oder haben Sie oft Geduld, weil Sie zu schnell oder gedankenlos vorgehen.	German
god forbid	God forbid I get another ticket on my parents' car. I'll be grounded for a month!	A phrase invoking God's protection to keep something from happening. Sometimes used sarcastically or hyperbolically.  	Una frase que invoca la protección de Dios para evitar que algo suceda. A veces se usa de manera sarcástica o hiperbólica.	Spanish
god forbid	God forbid I get another ticket on my parents' car. I'll be grounded for a month!	A phrase invoking God's protection to keep something from happening. Sometimes used sarcastically or hyperbolically.  	Ein Satz, der Gottes Schutz anruft, um zu verhindern, dass etwas geschieht. Wird manchmal sarkastisch oder übertrieben verwendet.	German
against the clock	We left later than we were supposed to, so it was a race against the clock to get to the airport on time.	In a very limited amount of time; with a shortage of time being the main problem. 	En un período de tiempo muy limitado; siendo la falta de tiempo el principal problema.	Spanish
against the clock	We left later than we were supposed to, so it was a race against the clock to get to the airport on time.	In a very limited amount of time; with a shortage of time being the main problem. 	In einer sehr begrenzten Zeit; wobei Zeitmangel das Hauptproblem darstellt.	German
in the same boat	My sister failed her driver's test, and I'll be in the same boat if I don't practice parallel parking.	Sharing a particular experience or circumstance with someone else.  	Compartir una experiencia o circunstancia particular con otra persona.	Spanish
in the same boat	My sister failed her driver's test, and I'll be in the same boat if I don't practice parallel parking.	Sharing a particular experience or circumstance with someone else.  	Eine bestimmte Erfahrung oder einen bestimmten Umstand mit jemand anderem teilen.	German
the best of both worlds	We hope that by forming a bipartisan committee we will be able form a body that represents the best of both worlds.	The most ideal or desirable attributes of two different things, situations, or circumstances.  	Los atributos más ideales o deseables de dos cosas, situaciones o circunstancias diferentes.	Spanish
the best of both worlds	We hope that by forming a bipartisan committee we will be able form a body that represents the best of both worlds.	The most ideal or desirable attributes of two different things, situations, or circumstances.  	Die idealsten oder wünschenswertesten Eigenschaften zweier verschiedener Dinge, Situationen oder Umstände.	German
nitty gritty	The manager always likes to begin the weekly meetings with an informal discussion before getting down to the nitty-gritty.	The specific facts, details, or elements of something. 	Los hechos, detalles o elementos específicos de algo.	Spanish
nitty gritty	The manager always likes to begin the weekly meetings with an informal discussion before getting down to the nitty-gritty.	The specific facts, details, or elements of something. 	Die spezifischen Fakten, Details oder Elemente von etwas.	German
the men in grey suits	It's easy to get disillusioned as a voter when you know most decisions get made by the men in gray suits.	Collectively, the businesspersons, politicians, or government officials who make important decisions behind the scenes but who are unseen and unknown by the public. 	En conjunto, los empresarios, políticos o funcionarios gubernamentales que toman decisiones importantes entre bastidores pero que el público no ve ni desconoce.	Spanish
the men in grey suits	It's easy to get disillusioned as a voter when you know most decisions get made by the men in gray suits.	Collectively, the businesspersons, politicians, or government officials who make important decisions behind the scenes but who are unseen and unknown by the public. 	Zusammenfassend handelt es sich um die Geschäftsleute, Politiker oder Regierungsbeamten, die hinter den Kulissen wichtige Entscheidungen treffen, die der Öffentlichkeit jedoch unsichtbar und unbekannt sind.	German
caught in the crossfire	Police officers are often caught in the crossfire when apprehending criminals.	Literally in the middle of an exchange of gunfire. 	Literalmente en medio de un intercambio de disparos.	Spanish
caught in the crossfire	Police officers are often caught in the crossfire when apprehending criminals.	Literally in the middle of an exchange of gunfire. 	Buchstäblich mitten in einem Schusswechsel.	German
between life and death	That horrific car accident left Kara between life and death.	In a precarious or dangerous situation that could result in one's death. 	En situación precaria o peligrosa que pueda provocar la muerte.	Spanish
between life and death	That horrific car accident left Kara between life and death.	In a precarious or dangerous situation that could result in one's death. 	In einer prekären oder gefährlichen Situation, die zum Tod führen kann.	German
time is money	My dad was of the firm believe that time is money, so he never really liked to sit back, relax, and do nothing—he always needed some project to be working on.	Time is a valuable commodity, so we should be as quick or expeditious as possible.  	El tiempo es un bien valioso, por lo que debemos ser lo más rápidos o expeditos posible.	Spanish
time is money	My dad was of the firm believe that time is money, so he never really liked to sit back, relax, and do nothing—he always needed some project to be working on.	Time is a valuable commodity, so we should be as quick or expeditious as possible.  	Zeit ist ein wertvolles Gut, deshalb sollten wir so schnell und zügig wie möglich sein.	German
labour of love	Katherine spends all of her free time knitting baby clothes for her friends. It must be a labor of love.	Work that is done for pleasure rather than money. 	Trabajo que se hace por placer más que por dinero.	Spanish
